Date,Z1A1_pumped,Z1A2_pumped,Z1A3_pumped,Z2A1_pumped,Z2A2_pumped,Z2A3_pumped,Z3A1_pumped,Z3A2_pumped,Z3A3_pumped,Z4A1_pumped,Z4A2_pumped,Z4A3_pumped
9/06/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.182863129
10/06/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.182863129
11/06/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.187610559
12/06/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.18735361
13/06/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.186919245
14/06/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.176445533
15/06/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.147538823
16/06/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.146303023
17/06/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.137211939
18/06/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.137211939
19/06/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.137211939
20/06/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.137211939
21/06/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.132464509
22/06/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.130873875
23/06/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.130873875
24/06/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.129252652
25/06/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.129252652
26/06/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.129252652
27/06/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.129252652
28/06/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.129252652
29/06/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.129252652
30/06/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.142155139
1/07/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.155614348
2/07/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.157920767
3/07/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.157939121
4/07/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.160490253
5/07/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.160490253
6/07/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.160545313
7/07/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.160545313
8/07/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.16134063
9/07/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.167091383
10/07/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.159070918
11/07/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.145948189
12/07/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.14364177
13/07/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.144467676
14/07/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.149912538
15/07/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.151233987
16/07/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.151178927
17/07/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.151178927
18/07/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.15038361
19/07/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.144632857
20/07/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.139750835
21/07/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.139414355
22/07/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.142803628
23/07/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.148211783
24/07/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.140215789
25/07/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.13889434
26/07/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.13889434
27/07/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.13889434
28/07/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.13889434
29/07/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.13889434
30/07/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.13889434
31/07/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.139255291
1/08/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.137371002
2/08/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.131993436
3/08/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.137982784
4/08/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.137982784
5/08/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.137982784
6/08/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.137982784
7/08/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.139665185
8/08/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.139665185
9/08/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.139665185
10/08/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.139304234
11/08/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.13779925
12/08/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.136924401
13/08/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.13392055
14/08/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.138343736
15/08/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.138343736
16/08/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.148364729
17/08/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.151393051
18/08/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.151393051
19/08/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.151393051
20/08/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.151393051
21/08/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.151393051
22/08/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.151393051
23/08/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.148407554
24/08/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.14411896
25/08/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.14411896
26/08/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.137988902
27/08/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.141121227
28/08/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.141121227
29/08/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.141121227
30/08/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.141121227
31/08/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.144241317
1/09/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.816193494,0.142865244
2/09/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.816193494,0.14491821
3/09/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.816193494,0.151434128
4/09/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.816193494,0.149697103
5/09/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.816193494,0.145161175
6/09/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.816193494,0.135581102
7/09/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.816193494,0.133844078
8/09/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.816193494,0.132107053
9/09/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.816193494,0.132190081
10/09/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.816193494,0.132698297
11/09/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.133089837
12/09/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.130728358
13/09/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.816193494,0.128244522
14/09/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.816193494,0.128290406
15/09/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.816193494,0.127198375
16/09/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.816193494,0.127198375
17/09/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.816193494,0.136934889
18/09/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.816193494,0.137283605
19/09/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.816193494,0.13707254
20/09/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.816193494,0.138002449
21/09/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.816193494,0.144309924
22/09/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.816193494,0.142881412
23/09/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.146077974
24/09/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.146032091
25/09/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.816193494,0.146032091
26/09/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.816193494,0.146793759
27/09/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.816193494,0.137057245
28/09/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.816193494,0.136708529
29/09/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.816193494,0.135099542
30/09/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.816193494,0.128804303
1/10/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.816193494,0.121744336
2/10/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.816193494,0.121744336
3/10/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.818964165,0.113057028
4/10/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.818964165,0.113057028
5/10/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.03394072,0.115865109
6/10/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.03394072,0.11510344
7/10/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.818964165,0.11510344
8/10/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.818964165,0.11510344
9/10/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.818964165,0.1170122
10/10/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.818964165,0.11951439
11/10/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.818964165,0.122854721
12/10/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.818964165,0.122854721
